DDCTransactionId20E86D324C86B319775E28BC0DD571CE_16, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7955065B46603C1F01981AAE67F33__5AB65D05EF596D533648DE0108FEE2C7BA407CF7, StartTime=2016.04.01-16.27.08, HierarchicalDDC=, DataSize=6899, Duration=0.033244, RunGuid=RunID2B11132C42583AFDD1534A8F42B06BAE
DDCTransactionId876AFF63424889BEF63D60818DDDBF35_9, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_55809E694EE7DB292235CC917A5C5C9F_07_0000803F0000803F0000803F000000000000803F00000000000000000000803FCDCC4C3F000000000800000006000100000000000102000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.01-16.27.09, Duration=15.061691, RunGuid=RunID2B11132C42583AFDD1534A8F42B06BAE
DDCTransactionId556F952448C89307FB09179718254EA9_10, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_55809E694EE7DB292235CC917A5C5__0DEE01AFDCD63EDCE050864E9B2048808D3D7B82, StartTime=2016.04.01-16.27.09, HierarchicalDDC=, DataSize=33031, Duration=0.034712, RunGuid=RunID2B11132C42583AFDD1534A8F42B06BAE
DDCTransactionId556F952448C89307FB09179718254EA9_11, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_55809E694EE7DB292235CC917A5C5__60C01A3D2DE5A93AFF7EF8C568AEB262FC04DA19, StartTime=2016.04.01-16.27.09, HierarchicalDDC=, DataSize=8455, Duration=0.019554, RunGuid=RunID2B11132C42583AFDD1534A8F42B06BAE
DDCTransactionId876AFF63424889BEF63D60818DDDBF35_10, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7BC0404946D77A8C093A10AE0677E804_07_0000803F0000803F0000803F000000000000803F00000000000000000000803FCDCC4C3F000000000800000006000100000000000102000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.01-16.27.09, Duration=5.405158, RunGuid=RunID2B11132C42583AFDD1534A8F42B06BAE
DDCTransactionId556F952448C89307FB09179718254EA9_12, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_55809E694EE7DB292235CC917A5C5__581C558B12F92DA8D70F4F628DF65CDCF5AECBC8, StartTime=2016.04.01-16.27.09, HierarchicalDDC=, DataSize=3860, Duration=0.022002, RunGuid=RunID2B11132C42583AFDD1534A8F42B06BAE
DDCTransactionId556F952448C89307FB09179718254EA9_13, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7BC0404946D77A8C093A10AE0677E__A1D8A03E2549AA9BBB14D25D58C22DB5DF625B64, StartTime=2016.04.01-16.27.09, HierarchicalDDC=, DataSize=16647, Duration=0.032756, RunGuid=RunID2B11132C42583AFDD1534A8F42B06BAE
DDCTransactionId556F952448C89307FB09179718254EA9_14, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7BC0404946D77A8C093A10AE0677E__AFBD176B0024CACEDD89C5FD04DBA1FA2128794D, StartTime=2016.04.01-16.27.09, HierarchicalDDC=, DataSize=6309, Duration=0.018090, RunGuid=RunID2B11132C42583AFDD1534A8F42B06BAE
DDCTransactionId876AFF63424889BEF63D60818DDDBF35_11, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_3A78BEB040043019A4DB61AD1C6AC4F2_07_0000803F0000803F0000803F000000000000803F00000000000000000000803FCDCC4C3F000000000800000006000100000000000102000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.01-16.27.09, Duration=51.279076, RunGuid=RunID2B11132C42583AFDD1534A8F42B06BAE
DDCTransactionId20E86D324C86B319775E28BC0DD571CE_17, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_3A78BEB040043019A4DB61AD1C6AC__75915B35B64D0748F43AA1CFEFA6A33478BFF803, StartTime=2016.04.01-16.27.09, HierarchicalDDC=, DataSize=65799, Duration=0.078224, RunGuid=RunID2B11132C42583AFDD1534A8F42B06BAE
