DDCTransactionId01384B1C4332ED10C04FE18EC6345BDC_19, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_9411C8A54D221020525A3185153903AE, StartTime=2016.04.01-22.23.52, HierarchicalDDC=, DataSize=64618, Duration=0.151556, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionId01384B1C4332ED10C04FE18EC6345BDC_20, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_65BC3626A2B893B4CC09D56110005D13, StartTime=2016.04.01-22.23.52, HierarchicalDDC=, DataSize=64618, Duration=0.154976, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionIdFC1C83824942CA647BFFB5A59F97735F_22, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_2FB2991548CF3EEE8CB703BADB20F6B8, StartTime=2016.04.01-22.23.52, HierarchicalDDC=, DataSize=64618, Duration=0.161819, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionId01384B1C4332ED10C04FE18EC6345BDC_21, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_DEB72C345CCA779CC48812BB92026FC4, StartTime=2016.04.01-22.23.52, HierarchicalDDC=, DataSize=64618, Duration=0.204355, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionIdFC1C83824942CA647BFFB5A59F97735F_23, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_2363DA7B42C82A09C876A19DB7E10854, StartTime=2016.04.01-22.23.52, HierarchicalDDC=, DataSize=64618, Duration=0.188712, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionId01384B1C4332ED10C04FE18EC6345BDC_22, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_54AC5697D51BF3FAAD3E0A78B191114D, StartTime=2016.04.01-22.23.52, HierarchicalDDC=, DataSize=64618, Duration=0.147644, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionIdFC1C83824942CA647BFFB5A59F97735F_24, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_5DFA1BBC44E03C70A7A9EABCE06579E6, StartTime=2016.04.01-22.23.52, HierarchicalDDC=, DataSize=64618, Duration=0.199467, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionId01384B1C4332ED10C04FE18EC6345BDC_23, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_FF128C01A60F59948FB94F749DFD1E0E, StartTime=2016.04.01-22.23.52, HierarchicalDDC=, DataSize=64618, Duration=0.167686, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionIdFC1C83824942CA647BFFB5A59F97735F_25, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_E0A2BB2141A9BECA987CF2965F2E898D, StartTime=2016.04.01-22.23.52, HierarchicalDDC=, DataSize=64618, Duration=0.251289, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
DDCTransactionId01384B1C4332ED10C04FE18EC6345BDC_24, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_9314DD627AF238D4810A69CE0ECFCCD2, StartTime=2016.04.01-22.23.52, HierarchicalDDC=, DataSize=64618, Duration=0.167686, RunGuid=RunID1C79A73A414D7D2E6B3A949852008D6F
